0  0
 5  0.0023301
 10  0.00873786
 15  0.0219417
 20  0.0434951
 25  0.0512621
 30  0.0485437
 35  0.021165
 40  0.00252427
 45  0
 50  0
 55  0
 60  0
 65  0
 70  0
 75  0
 80  0
 85  0
 90  0
 95  0
 100  0
 105  0
 110  0
 115  0
 120  0
 125  0
 130  0
 135  0
 140  0
 145  0
 150  0
 155  0
 160  0
 165  0
 170  0
 175  0
 180  0
 185  0
 190  0
 195  0
 200  0
 205  0
 210  0
 215  0
 220  0
 225  0
 230  0
 235  0
 240  0
 245  0
 250  0
 255  0
 260  0
 265  0
 270  0
 275  0
 280  0
 285  0
 290  0
 295  0
 300  0
 305  0
 310  0
 315  0
 320  0
 325  0
&
 0  0
 5  0
 10  0
 15  0
 20  0
 25  0
 30  0
 35  0
 40  0
 45  0
 50  0
 55  0
 60  0
 65  0
 70  0
 75  0
 80  0
 85  0
 90  0
 95  0
 100  0
 105  0
 110  0
 115  0
 120  0
 125  0
 130  0
 135  0
 140  0
 145  0
 150  0
 155  0
 160  0
 165  0
 170  0
 175  0
 180  0
 185  0
 190  0
 195  0
 200  0
 205  0
 210  0
 215  0
 220  0
 225  0
 230  0
 235  0
 240  0
 245  0.000194175
 250  0.00174757
 255  0.00466019
 260  0.0108738
 265  0.0248544
 270  0.0374757
 275  0.0363107
 280  0.0341748
 285  0.0225243
 290  0.0132039
 295  0.0102913
 300  0.00252427
 305  0.000970874
 310  0
 315  0
 320  0.000194175
 325  0
